ID	Korean	History	Math	Science
1809001	95	98	99	100
1809002	100	97	98	98
1809003	96	95	96	99
1809004	98	97	100	99
1809005	97	99	100	98
1809006	99	98	97	97
1809007	97	95	95	98
1809008	95	95	95	98
1809009	99	95	96	99
1809010	96	100	97	95
1809011	98	96	100	95
1809012	97	97	100	99
1809013	98	100	96	100
1809014	100	100	95	95
1809015	100	97	99	99
1809016	99	95	95	98
1809017	84	92	95	73
1809018	98	91	87	84
1809019	95	94	87	84
1809020	97	92	90	81
1809021	100	95	90	84
1809022	97	93	86	85
1809023	99	90	90	84
1809024	98	92	89	82
1809025	95	93	88	82
1809026	96	95	90	82
1809027	97	95	88	85
1809028	100	90	88	82
1809029	99	95	88	81
1809030	97	91	86	83
1809031	95	92	88	80
1809032	100	90	90	85
1809033	95	94	90	80
1809034	99	92	88	81
1809035	96	93	86	81
1809036	97	90	89	81
1809037	99	90	89	81
1809038	100	95	86	85
1809039	86	82	94	96
1809040	88	82	94	98
1809041	86	82	92	97
1809042	87	81	93	100
1809043	87	84	94	100
1809044	87	83	91	100
1809045	90	85	95	98
1809046	89	81	94	100
1809047	87	85	91	99
1809048	90	84	93	98
1809049	86	81	94	99
1809050	89	85	92	96
1809051	88	80	93	99
1809052	89	84	91	98
1809053	89	85	95	95
1809054	87	82	95	98
1809055	88	83	90	99
1809056	89	85	91	98
1809057	72	97	83	84
1809058	72	97	81	80
1809059	74	100	84	83
1809060	73	100	81	85
1809061	74	97	82	85
1809062	72	95	80	81
1809063	73	99	80	80
1809064	71	98	84	82
1809065	74	99	82	82
1809066	72	98	85	81
1809067	73	95	83	81
1809068	75	98	81	82
1809069	73	98	81	82
1809070	75	97	83	84
1809071	75	99	85	85
1809072	72	96	82	83
1809073	75	98	81	83
1809074	71	95	83	83
1809075	74	99	82	80
1809076	70	99	84	82
1809077	73	97	84	82
1809078	72	96	80	83
1809079	74	98	81	81
1809080	70	95	84	80
1809081	71	100	84	82
1809082	70	98	80	83
1809083	70	97	80	83
1809084	71	99	81	80
1809085	72	98	80	83
1809086	71	96	82	84
1809087	75	95	83	84
1809088	72	95	85	80
1809089	72	99	83	82
1809090	73	95	84	84
1809091	74	99	82	83
1809092	70	95	84	83
1809093	75	97	83	85
1809094	71	98	83	81
1809095	71	98	81	82
1809096	70	96	81	83
1809097	75	96	83	84
1809098	73	97	81	81
1809099	71	96	82	83
1809100	75	97	85	85
1809101	71	95	82	84
1809102	75	100	81	82
1809103	70	96	82	82
1809104	74	96	80	85
1809105	73	100	83	80
1809106	75	97	81	83
1809107	71	99	82	84
1809108	72	97	82	82
1809109	74	96	82	82
1809110	73	96	82	81
1809111	80	70	81	71
1809112	83	65	80	75
1809113	84	70	85	72
1809114	85	66	82	72
1809115	85	70	80	75
1809116	81	68	81	70
1809117	81	67	83	73
1809118	80	68	83	75
1809119	81	68	85	72
1809120	84	69	85	71
1809121	80	70	85	70
1809122	84	65	85	75
1809123	84	69	85	71
1809124	85	69	84	70
1809125	84	69	84	75
1809126	83	65	82	71
1809127	81	67	82	72
1809128	81	65	80	73
1809129	80	70	80	72
1809130	84	70	83	73
1809131	65	56	76	50
1809132	69	59	78	55
1809133	67	55	75	52
1809134	68	58	79	55
1809135	65	56	80	54
1809136	67	55	78	52
1809137	67	56	77	54
1809138	67	59	77	53
1809139	69	57	76	52
1809140	68	55	77	55
1809141	66	59	79	50
1809142	70	58	76	55
1809143	67	58	78	52
1809144	68	59	80	55
1809145	66	58	76	50
1809146	68	60	77	50
1809147	65	58	77	51
1809148	67	56	77	53
1809149	67	59	77	51
1809150	69	57	76	55
