ID	Korean	History	Math	Science	NoAbs	SleepHr	HrPrvLWk	VolHr	ExecHrWk	RestHrWk	K_SAT
1809001	95	98	99	100	0	4.9	22	125	5	9	398
1809002	100	97	98	98	0	4.2	24	125	6	8	400
1809003	96	95	96	99	0	4.3	21	126	5	8	364
1809004	98	97	100	99	0	4.9	24	126	3	8	399
1809005	97	99	100	98	0	4.9	22	121	6	12	369
1809006	99	98	97	97	0	4.9	25	127	6	11	366
1809007	97	95	95	98	3	4.2	24	106	2	32	296
1809008	95	95	95	98	0	4.2	10	126	1	11	336
1809009	99	95	96	99	15	7.7	12	81	3	29	226
1809010	96	100	97	95	0	4.2	12	80	1	8	324
1809011	98	96	100	95	0	4.4	22	129	10	9	388
1809012	97	97	100	99	0	4	21	101	10	12	368
1809013	98	100	96	100	2	4.7	22	124	7	26	364
1809014	100	100	95	95	0	4	23	125	9	11	400
1809015	100	97	99	99	0	4.6	21	119	8	11	365
1809016	99	95	95	98	0	4.8	20	128	10	11	378
1809017	84	92	95	73	0	4.2	24	112	9	8	376
1809018	98	91	87	84	0	4.1	23	83	10	9	389
1809019	95	94	87	84	0	4.1	23	90	7	9	365
1809020	97	92	90	81	0	4	9	87	7	12	348
1809021	100	95	90	84	0	4.2	9	82	8	8	350
1809022	97	93	86	85	3	4.8	13	112	8	27	312
1809023	99	90	90	84	0	7.5	9	123	10	15	338
1809024	98	92	89	82	0	7.9	10	100	8	14	344
1809025	95	93	88	82	0	7.5	25	123	10	12	400
1809026	96	95	90	82	0	7.6	21	121	5	10	361
1809027	97	95	88	85	0	4.9	20	119	4	12	346
1809028	100	90	88	82	0	4	23	125	5	15	395
1809029	99	95	88	81	0	4.8	20	113	3	13	383
1809030	97	91	86	83	0	4.8	24	119	6	10	384
1809031	95	92	88	80	0	4.2	23	118	5	10	387
1809032	100	90	90	85	0	4	24	117	3	15	340
1809033	95	94	90	80	0	4.1	22	110	1	13	358
1809034	99	92	88	81	0	4.9	22	116	10	13	370
1809035	96	93	86	81	0	4.1	23	125	8	13	400
1809036	97	90	89	81	0	4.1	25	129	8	11	400
1809037	99	90	89	81	0	4.1	22	103	8	15	382
1809038	100	95	86	85	0	4.7	22	107	10	10	400
1809039	86	82	94	96	0	4.8	22	127	8	32	334
1809040	88	82	94	98	2	4.5	20	122	10	32	355
1809041	86	82	92	97	0	4.1	22	100	10	32	297
1809042	87	81	93	100	0	4.8	20	105	7	27	357
1809043	87	84	94	100	0	4.9	22	129	10	14	394
1809044	87	83	91	100	0	4	21	120	10	14	393
1809045	90	85	95	98	0	4.8	5	125	8	14	300
1809046	89	81	94	100	0	4.6	10	103	3	10	308
1809047	87	85	91	99	0	6	10	109	3	10	332
1809048	90	84	93	98	0	6.4	10	60	1	12	295
1809049	86	81	94	99	0	6.7	5	62	3	13	256
1809050	89	85	92	96	0	6.8	22	70	3	13	316
1809051	88	80	93	99	0	6.1	22	67	3	10	322
1809052	89	84	91	98	0	6.4	22	118	5	10	386
1809053	89	85	95	95	0	4.4	22	108	6	15	337
1809054	87	82	95	98	0	4.5	23	130	6	17	387
1809055	88	83	90	99	0	4.9	25	107	6	17	374
1809056	89	85	91	98	0	4.4	20	102	4	18	361
1809057	72	97	83	84	0	4.6	25	103	1	14	331
1809058	72	97	81	80	0	4.7	25	129	2	17	379
1809059	74	100	84	83	0	4.6	25	116	2	16	391
1809060	73	100	81	85	0	4.7	22	130	0	12	344
1809061	74	97	82	85	0	4.4	25	120	0	18	346
1809062	72	95	80	81	0	4.1	25	115	0	27	321
1809063	73	99	80	80	0	4	24	128	3	20	371
1809064	71	98	84	82	0	4.5	23	103	5	29	312
1809065	74	99	82	82	0	4.1	23	111	4	21	348
1809066	72	98	85	81	0	4.7	22	115	3	24	340
1809067	73	95	83	81	5	4.5	17	84	6	27	318
1809068	75	98	81	82	3	8.7	16	89	5	28	305
1809069	73	98	81	82	0	8.2	14	82	3	21	291
1809070	75	97	83	84	7	8.8	16	87	6	29	253
1809071	75	99	85	85	0	8.2	16	110	4	27	288
1809072	72	96	82	83	0	8.8	25	116	6	24	329
1809073	75	98	81	83	0	8.1	23	129	4	27	321
1809074	71	95	83	83	0	4.6	20	129	4	27	331
1809075	74	99	82	80	0	4	24	118	2	21	330
1809076	70	99	84	82	0	4.8	24	105	3	20	367
1809077	73	97	84	82	0	4.7	21	100	1	20	315
1809078	72	96	80	83	4	4	25	113	0	28	311
1809079	74	98	81	81	0	4.4	20	107	0	25	290
1809080	70	95	84	80	5	4.3	22	109	0	27	325
1809081	71	100	84	82	0	4.7	23	118	6	23	365
1809082	70	98	80	83	0	4.7	24	128	6	20	386
1809083	70	97	80	83	7	4	21	122	6	27	340
1809084	71	99	81	80	0	4.2	21	101	5	24	302
1809085	72	98	80	83	0	4.1	24	107	3	28	339
1809086	71	96	82	84	0	4.3	21	130	6	26	363
1809087	75	95	83	84	0	4.6	20	127	5	24	344
1809088	72	95	85	80	0	4.3	25	130	2	24	356
1809089	72	99	83	82	0	4.8	27	118	0	23	354
1809090	73	95	84	84	0	4	25	106	1	24	350
1809091	74	99	82	83	3	4.4	25	113	1	22	357
1809092	70	95	84	83	0	5.3	27	66	2	15	338
1809093	75	97	83	85	0	5.6	26	61	1	12	347
1809094	71	98	83	81	0	5.8	22	50	1	10	313
1809095	71	98	81	82	0	5.6	22	70	0	15	290
1809096	70	96	81	83	0	5.6	24	67	1	12	349
1809097	75	96	83	84	0	5.7	23	73	3	27	311
1809098	73	97	81	81	0	4.9	25	58	6	29	324
1809099	71	96	82	83	0	4.4	23	58	5	27	324
1809100	75	97	85	85	0	4.7	22	115	6	25	355
1809101	71	95	82	84	0	4.6	23	115	4	27	346
1809102	75	100	81	82	7	4.4	23	106	6	23	341
1809103	70	96	82	82	0	4.7	22	107	4	29	327
1809104	74	96	80	85	0	4.4	22	101	3	29	319
1809105	73	100	83	80	0	4.2	21	64	3	28	327
1809106	75	97	81	83	0	4.2	23	74	0	21	324
1809107	71	99	82	84	0	6.6	24	50	2	26	298
1809108	72	97	82	82	0	6	22	55	2	29	311
1809109	74	96	82	82	0	6.6	24	67	3	26	301
1809110	73	96	82	81	12	6.9	15	52	6	20	258
1809111	80	70	81	71	0	6.5	14	75	6	26	259
1809112	83	65	80	75	0	6.4	16	81	4	26	314
1809113	84	70	85	72	0	6.8	16	116	3	29	284
1809114	85	66	82	72	11	6.9	12	103	1	22	276
1809115	85	70	80	75	0	6	24	77	1	20	337
1809116	81	68	81	70	0	6.3	25	79	2	28	309
1809117	81	67	83	73	0	6.5	24	90	0	28	275
1809118	80	68	83	75	0	6.8	21	56	0	25	276
1809119	81	68	85	72	0	4.2	25	123	3	29	314
1809120	84	69	85	71	0	4.9	24	113	3	23	351
1809121	80	70	85	70	0	4	22	111	2	21	316
1809122	84	65	85	75	0	4.5	22	126	1	11	346
1809123	84	69	85	71	0	4.6	25	120	2	14	372
1809124	85	69	84	70	0	4.6	23	107	5	11	382
1809125	84	69	84	75	0	4.9	25	128	6	15	378
1809126	83	65	82	71	0	4.6	20	101	3	14	324
1809127	81	67	82	72	0	4.3	25	122	4	18	360
1809128	81	65	80	73	0	4.4	23	103	5	15	318
1809129	80	70	80	72	0	4.3	22	122	0	17	352
1809130	84	70	83	73	6	4.2	21	105	0	15	347
1809131	65	56	76	50	0	4.9	20	111	2	32	282
1809132	69	59	78	55	0	4.1	22	115	0	29	297
1809133	67	55	75	52	0	4.5	21	128	0	31	284
1809134	68	58	79	55	8	4.4	22	130	0	28	296
1809135	65	56	80	54	0	4	20	118	0	26	314
1809136	67	55	78	52	0	4.3	21	130	1	27	318
1809137	67	56	77	54	0	4.4	25	109	0	28	322
1809138	67	59	77	53	4	7.4	24	82	0	28	254
1809139	69	57	76	52	0	7.7	21	87	6	27	330
1809140	68	55	77	55	0	7.5	19	64	6	29	288
1809141	66	59	79	50	0	7.6	20	75	5	33	246
1809142	70	58	76	55	16	7.8	21	101	6	34	241
1809143	67	58	78	52	0	7.7	21	123	6	27	349
1809144	68	59	80	55	0	7.6	23	91	5	28	314
1809145	66	58	76	50	0	7.9	21	91	6	28	285
1809146	68	60	77	50	0	7.6	25	67	3	34	272
1809147	65	58	77	51	12	4.1	22	83	5	29	298
1809148	67	56	77	53	0	4.1	21	118	6	31	340
1809149	67	59	77	51	0	4.3	22	104	1	30	308
1809150	69	57	76	55	0	4.2	25	102	1	34	282
